Vendor,Vendor Company,Location,Location Description,SKU,Transaction Date,Transaction Date2,Transaction No,SKU Description,QTY,CSEXPRC,RATE,NET COST,MODEL,CSACCT
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,184012,20230104,12/9/22,2172,ccDEVANT UHD 50UHD204,1,19250,0.25,14437.5,32A4GS,G22131101B3GA
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,173859,20230105,12/12/22,2302,ccHISENSE SMART 32A4GS,1,10000,0.21,7900,50A6H,3TE50G22210U01BD8441267
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,173856,20230105,12/14/22,2373,ccDEVANT SMART 32STV103,1,10000,0.21,7900,50A6H,0G22210U01BD844
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,173856,20230108,12/14/22,2373,ccDEVANT SMART 32STV103,1,10750,0.21,8492.5,50A6H,3TE50G22310W01BEB441324
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,173856,20230118,12/14/22,2373,ccDEVANT SMART 32STV103,1,10750,0.21,8492.5,50A6H,3TE50G22210U01BD8441335
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,184011,20230119,12/14/22,2373,ccDEVANT UHD 43UHD204,1,18450,0.23,14206.5,50A6H,3TE50G22310W01BEB441323
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,173856,20230122,12/26/22,2922,ccDEVANT SMART 32STV103,1,10750,0.21,8492.5,32A4GS,01BD8A31931
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,173856,20230124,12/27/22,3019,ccDEVANT SMART 32STV103,1,10750,0.21,8492.5,32A4GS,3TE32G22181Q01BC
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,173856,20230128,12/29/22,3073,ccDEVANT SMART 32STV103,1,10750,0.21,8492.5,32A4GS,3TE32G22242U01BD8A32061
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,173856,20230128,12/30/22,3137,ccDEVANT SMART 32STV103,1,10750,0.21,8492.5,50A6H,3TE50G22242R01B5E442495
20099,FINDEN TECHNOLOGIES INC-CC,602,ABENSON PACIFICMALL LEGASPI,173859,20230125,12/31/22,3195,ccHISENSE SMART 32A4GS,1," 10,750.00 ",0.21," 8,492.50 ",32A4GS,3TE32G22181Q01BCEA32262
